0 Intro,1 Verse,2 Chorus,3 Instrumental,4 Bridge,5 End,,,
0.13,0.06,0.00,0.44,0.09,0.28,0.00,4.02,3.00
0.13,0.06,0.00,0.42,0.09,0.29,0.00,4.05,3.00
0.13,0.06,0.00,0.41,0.10,0.30,0.00,4.07,3.00
0.13,0.07,0.00,0.39,0.10,0.31,0.00,4.10,3.00
0.14,0.07,0.00,0.38,0.10,0.31,0.00,4.12,3.00
0.14,0.08,0.00,0.37,0.11,0.30,0.00,4.15,3.00
0.14,0.08,0.00,0.37,0.11,0.30,0.00,4.17,3.00
0.14,0.08,0.00,0.36,0.11,0.30,0.00,4.20,3.00
0.15,0.08,0.00,0.36,0.11,0.30,0.00,4.22,3.00
0.15,0.08,0.00,0.35,0.11,0.30,0.00,4.25,3.00
0.16,0.09,0.00,0.34,0.11,0.30,0.00,4.27,3.00
0.16,0.09,0.00,0.33,0.11,0.30,0.00,4.30,3.00
0.16,0.09,0.00,0.33,0.11,0.31,0.00,4.32,3.00
0.17,0.09,0.00,0.32,0.12,0.31,0.00,4.35,3.00
0.17,0.09,0.00,0.32,0.12,0.31,0.00,4.37,3.00
0.17,0.08,0.00,0.32,0.12,0.31,0.00,4.40,3.00
0.17,0.08,0.00,0.32,0.11,0.31,0.00,4.42,3.00
0.18,0.08,0.00,0.32,0.11,0.31,0.00,4.45,3.00
0.18,0.08,0.00,0.32,0.11,0.31,0.00,4.47,3.00
0.18,0.08,0.00,0.32,0.11,0.31,0.00,4.50,3.00
0.18,0.08,0.00,0.33,0.11,0.31,0.00,4.52,3.00
0.18,0.08,0.00,0.33,0.11,0.31,0.00,4.55,3.00
0.18,0.07,0.00,0.33,0.11,0.31,0.00,4.57,3.00
0.18,0.07,0.00,0.33,0.11,0.31,0.00,4.60,3.00
0.18,0.07,0.00,0.33,0.10,0.31,0.00,4.62,3.00
0.17,0.07,0.00,0.34,0.10,0.31,0.00,4.65,3.00
0.17,0.07,0.00,0.35,0.10,0.31,0.00,4.67,3.00
0.17,0.07,0.00,0.36,0.10,0.31,0.00,4.70,3.00
0.17,0.06,0.00,0.36,0.10,0.31,0.00,4.72,3.00
0.17,0.06,0.00,0.37,0.10,0.31,0.00,4.75,3.00
0.16,0.06,0.00,0.37,0.10,0.31,0.00,4.77,3.00
0.16,0.06,0.00,0.38,0.09,0.31,0.00,4.80,3.00
0.16,0.05,0.00,0.38,0.09,0.31,0.00,4.82,3.00
0.16,0.05,0.00,0.38,0.09,0.32,0.00,4.85,3.00
0.16,0.05,0.00,0.38,0.09,0.32,0.00,4.87,3.00
0.16,0.05,0.00,0.39,0.09,0.31,0.00,4.90,3.00
0.16,0.05,0.00,0.39,0.09,0.31,0.00,4.92,3.00
0.15,0.05,0.00,0.40,0.09,0.31,0.00,4.95,3.00
0.15,0.05,0.00,0.41,0.08,0.31,0.00,4.97,3.00
0.15,0.05,0.00,0.41,0.08,0.31,0.00,5.00,3.00
0.15,0.05,0.00,0.41,0.08,0.31,0.00,5.02,3.00
0.15,0.05,0.00,0.41,0.08,0.31,0.00,5.05,3.00
0.15,0.05,0.00,0.41,0.08,0.31,0.00,5.07,3.00
0.15,0.04,0.00,0.42,0.08,0.31,0.00,5.10,3.00
0.15,0.04,0.00,0.42,0.08,0.31,0.00,5.12,3.00
0.15,0.04,0.00,0.43,0.08,0.30,0.00,5.14,3.00
0.14,0.04,0.00,0.44,0.08,0.30,0.00,5.17,3.00
0.14,0.04,0.00,0.45,0.07,0.30,0.00,5.19,3.00
0.14,0.04,0.00,0.46,0.07,0.29,0.00,5.22,3.00
0.14,0.04,0.00,0.46,0.07,0.30,0.00,5.24,3.00
0.13,0.04,0.00,0.46,0.07,0.30,0.00,5.27,3.00
0.13,0.04,0.00,0.46,0.07,0.30,0.00,5.29,3.00
0.13,0.04,0.00,0.45,0.07,0.31,0.00,5.32,3.00
0.13,0.04,0.00,0.46,0.07,0.30,0.00,5.34,3.00
0.13,0.04,0.00,0.47,0.07,0.30,0.00,5.37,3.00
0.12,0.04,0.00,0.48,0.07,0.29,0.00,5.39,3.00
0.12,0.04,0.00,0.48,0.07,0.30,0.00,5.42,3.00
0.12,0.04,0.00,0.48,0.07,0.30,0.00,5.44,3.00
0.11,0.04,0.00,0.48,0.07,0.30,0.00,5.47,3.00
0.11,0.04,0.00,0.48,0.07,0.30,0.00,5.49,3.00
0.11,0.04,0.00,0.48,0.07,0.30,0.00,5.52,3.00
0.11,0.04,0.00,0.48,0.07,0.30,0.00,5.54,3.00
0.11,0.04,0.00,0.47,0.07,0.30,0.00,5.57,3.00
0.11,0.05,0.00,0.47,0.07,0.30,0.00,5.59,3.00
0.11,0.05,0.00,0.47,0.07,0.30,0.00,5.62,3.00
0.11,0.05,0.00,0.47,0.07,0.29,0.00,5.64,3.00
0.11,0.05,0.00,0.46,0.08,0.29,0.00,5.67,3.00
0.12,0.06,0.00,0.46,0.08,0.30,0.00,5.69,3.00
0.12,0.06,0.00,0.45,0.08,0.30,0.00,5.72,3.00
0.12,0.06,0.00,0.44,0.08,0.30,0.00,5.74,3.00
0.12,0.06,0.00,0.43,0.08,0.30,0.00,5.77,3.00
0.13,0.06,0.00,0.43,0.08,0.30,0.00,5.79,3.00
0.13,0.06,0.00,0.43,0.09,0.29,0.00,5.82,3.00
0.13,0.06,0.00,0.43,0.09,0.29,0.00,5.84,3.00
