0 Intro,1 Verse,2 Chorus,3 Instrumental,4 Bridge,5 End,,,
0.15985,0.16528,0.19488,0.15180,0.19758,0.13062,0.00000,5.14498,4.00000
0.15959,0.16478,0.19599,0.15148,0.19722,0.13093,0.00000,5.16995,4.00000
0.15947,0.16571,0.19539,0.15134,0.19728,0.13080,0.00000,5.19493,4.00000
0.15974,0.16818,0.19273,0.15134,0.19757,0.13045,0.00000,5.21990,4.00000
0.16013,0.17085,0.18970,0.15114,0.19816,0.13002,0.00000,5.24488,4.00000
0.16068,0.17273,0.18828,0.15094,0.19797,0.12940,0.00000,5.26985,4.00000
0.16090,0.17346,0.18832,0.15085,0.19714,0.12932,0.00000,5.29483,4.00000
0.16093,0.17358,0.18880,0.15064,0.19622,0.12983,0.00000,5.31980,4.00000
0.16113,0.17403,0.18875,0.15020,0.19503,0.13086,0.00000,5.34478,4.00000
0.16141,0.17548,0.18717,0.14971,0.19397,0.13225,0.00000,5.36976,4.00000
0.16137,0.17757,0.18505,0.14944,0.19313,0.13344,0.00000,5.39473,4.00000
0.16078,0.17991,0.18344,0.14942,0.19194,0.13452,0.00000,5.41971,4.00000
0.15983,0.18238,0.18254,0.14927,0.19040,0.13557,0.00000,5.44468,4.00000
0.15882,0.18435,0.18269,0.14854,0.18882,0.13678,0.00000,5.46966,4.00000
0.15789,0.18596,0.18297,0.14775,0.18746,0.13797,0.00000,5.49463,4.00000
0.15738,0.18754,0.18215,0.14732,0.18675,0.13886,0.00000,5.51961,1.00000
0.15772,0.18898,0.18024,0.14731,0.18628,0.13947,0.00000,5.54459,1.00000
0.15850,0.19077,0.17805,0.14742,0.18524,0.14002,0.00000,5.56956,1.00000
0.15899,0.19218,0.17665,0.14777,0.18392,0.14048,0.00000,5.59454,1.00000
0.15930,0.19281,0.17579,0.14859,0.18250,0.14101,0.00000,5.61951,1.00000
0.15938,0.19285,0.17473,0.14932,0.18191,0.14182,0.00000,5.64449,1.00000
0.15955,0.19253,0.17382,0.14932,0.18193,0.14285,0.00000,5.66946,1.00000
0.16019,0.19165,0.17325,0.14854,0.18220,0.14416,0.00000,5.69444,1.00000
0.16046,0.19061,0.17279,0.14793,0.18295,0.14527,0.00000,5.71941,1.00000
0.16007,0.18975,0.17270,0.14777,0.18389,0.14581,0.00000,5.74439,1.00000
0.15952,0.18922,0.17305,0.14729,0.18496,0.14596,0.00000,5.76937,1.00000
0.15925,0.18879,0.17403,0.14664,0.18563,0.14565,0.00000,5.79434,1.00000
0.15926,0.18801,0.17572,0.14646,0.18566,0.14489,0.00000,5.81932,1.00000
0.16001,0.18697,0.17738,0.14642,0.18573,0.14349,0.00000,5.84429,1.00000
0.16073,0.18575,0.17877,0.14643,0.18629,0.14203,0.00000,5.86927,4.00000
0.16144,0.18427,0.17988,0.14650,0.18685,0.14106,0.00000,5.89424,4.00000
0.16111,0.18348,0.18064,0.14679,0.18789,0.14009,0.00000,5.91922,4.00000
0.15989,0.18363,0.18131,0.14749,0.18882,0.13886,0.00000,5.94420,4.00000
0.15902,0.18370,0.18262,0.14861,0.18860,0.13744,0.00000,5.96917,4.00000
0.15840,0.18326,0.18444,0.14999,0.18785,0.13606,0.00000,5.99415,4.00000
0.15769,0.18264,0.18575,0.15103,0.18755,0.13533,0.00000,6.01912,4.00000
0.15711,0.18171,0.18624,0.15158,0.18774,0.13563,0.00000,6.04410,4.00000
0.15708,0.18048,0.18597,0.15207,0.18793,0.13648,0.00000,6.06907,4.00000
0.15703,0.17965,0.18498,0.15251,0.18856,0.13727,0.00000,6.09405,4.00000
0.15755,0.17888,0.18388,0.15289,0.18943,0.13736,0.00000,6.11902,4.00000
0.15859,0.17757,0.18327,0.15321,0.18996,0.13740,0.00000,6.14400,4.00000
0.15938,0.17605,0.18327,0.15331,0.19023,0.13775,0.00000,6.16898,4.00000
0.16001,0.17515,0.18378,0.15280,0.19011,0.13815,0.00000,6.19395,4.00000
0.16078,0.17506,0.18433,0.15177,0.18989,0.13818,0.00000,6.21893,4.00000
0.16148,0.17531,0.18477,0.15087,0.18961,0.13795,0.00000,6.24390,4.00000
0.16193,0.17534,0.18484,0.15019,0.19019,0.13751,0.00000,6.26888,4.00000
0.16190,0.17589,0.18398,0.14952,0.19125,0.13747,0.00000,6.29385,4.00000
0.16185,0.17683,0.18267,0.14881,0.19222,0.13763,0.00000,6.31883,4.00000
0.16186,0.17767,0.18197,0.14779,0.19321,0.13750,0.00000,6.34380,4.00000
0.16180,0.17837,0.18180,0.14695,0.19402,0.13705,0.00000,6.36878,4.00000
0.16192,0.17926,0.18118,0.14656,0.19475,0.13633,0.00000,6.39376,4.00000
0.16226,0.18050,0.18067,0.14644,0.19447,0.13566,0.00000,6.41873,4.00000
0.16232,0.18186,0.18067,0.14639,0.19356,0.13520,0.00000,6.44371,4.00000
0.16212,0.18309,0.18103,0.14630,0.19241,0.13505,0.00000,6.46868,4.00000
0.16179,0.18372,0.18221,0.14609,0.19113,0.13507,0.00000,6.49366,4.00000
0.16100,0.18379,0.18476,0.14578,0.18956,0.13511,0.00000,6.51863,4.00000
0.16004,0.18338,0.18841,0.14535,0.18787,0.13495,0.00000,6.54361,2.00000
0.15957,0.18239,0.19222,0.14485,0.18644,0.13454,0.00000,6.56859,2.00000
0.15944,0.18072,0.19559,0.14462,0.18572,0.13391,0.00000,6.59356,2.00000
0.15958,0.17850,0.19793,0.14492,0.18568,0.13340,0.00000,6.61854,2.00000
0.15971,0.17617,0.19936,0.14560,0.18595,0.13321,0.00000,6.64351,2.00000
0.15967,0.17450,0.19989,0.14663,0.18620,0.13312,0.00000,6.66849,2.00000
0.15947,0.17295,0.20026,0.14801,0.18628,0.13303,0.00000,6.69346,2.00000
0.15929,0.17171,0.19974,0.14994,0.18642,0.13290,0.00000,6.71844,2.00000
0.15922,0.17072,0.19859,0.15201,0.18675,0.13270,0.00000,6.74341,2.00000
0.15929,0.16920,0.19851,0.15398,0.18708,0.13195,0.00000,6.76839,2.00000
0.15908,0.16737,0.19817,0.15612,0.18807,0.13120,0.00000,6.79337,2.00000
0.15890,0.16567,0.19747,0.15810,0.18890,0.13096,0.00000,6.81834,2.00000
0.15877,0.16418,0.19691,0.15954,0.18960,0.13100,0.00000,6.84332,2.00000
0.15892,0.16281,0.19654,0.16034,0.19040,0.13100,0.00000,6.86829,2.00000
0.15911,0.16201,0.19582,0.16063,0.19119,0.13124,0.00000,6.89327,2.00000
0.15927,0.16202,0.19493,0.16047,0.19165,0.13167,0.00000,6.91824,2.00000
0.15973,0.16250,0.19444,0.15979,0.19172,0.13182,0.00000,6.94322,2.00000
0.16042,0.16320,0.19439,0.15873,0.19160,0.13166,0.00000,6.96820,2.00000
0.16059,0.16441,0.19447,0.15765,0.19119,0.13169,0.00000,6.99317,2.00000
0.15986,0.16588,0.19459,0.15690,0.19089,0.13188,0.00000,7.01815,2.00000
0.15896,0.16805,0.19452,0.15618,0.19028,0.13201,0.00000,7.04312,2.00000
0.15795,0.17124,0.19374,0.15569,0.18930,0.13208,0.00000,7.06810,2.00000
0.15689,0.17486,0.19203,0.15524,0.18893,0.13205,0.00000,7.09307,2.00000
0.15578,0.17902,0.18934,0.15465,0.18898,0.13222,0.00000,7.11805,2.00000
0.15480,0.18311,0.18670,0.15384,0.18902,0.13253,0.00000,7.14302,4.00000
0.15423,0.18596,0.18517,0.15274,0.18886,0.13303,0.00000,7.16800,4.00000
0.15398,0.18682,0.18406,0.15188,0.18970,0.13356,0.00000,7.19298,4.00000
0.15447,0.18692,0.18293,0.15104,0.19070,0.13394,0.00000,7.21795,4.00000
0.15554,0.18672,0.18184,0.15026,0.19157,0.13407,0.00000,7.24293,4.00000
0.15633,0.18636,0.18106,0.14969,0.19248,0.13407,0.00000,7.26790,4.00000
0.15669,0.18536,0.18101,0.14957,0.19349,0.13389,0.00000,7.29288,4.00000
0.15704,0.18445,0.18146,0.14958,0.19413,0.13333,0.00000,7.31785,4.00000
0.15769,0.18381,0.18190,0.14978,0.19444,0.13238,0.00000,7.34283,4.00000
0.15880,0.18257,0.18297,0.14984,0.19459,0.13122,0.00000,7.36780,4.00000
0.16000,0.18052,0.18535,0.15012,0.19408,0.12993,0.00000,7.39278,4.00000
0.16080,0.17824,0.18844,0.15061,0.19311,0.12880,0.00000,7.41776,4.00000
0.16115,0.17574,0.19175,0.15108,0.19225,0.12803,0.00000,7.44273,4.00000
0.16189,0.17369,0.19432,0.15144,0.19139,0.12726,0.00000,7.46771,2.00000
0.16296,0.17254,0.19550,0.15177,0.19070,0.12653,0.00000,7.49268,2.00000
0.16386,0.17193,0.19602,0.15190,0.19012,0.12617,0.00000,7.51766,2.00000
0.16454,0.17072,0.19714,0.15161,0.18964,0.12635,0.00000,7.54263,2.00000
0.16438,0.16889,0.19970,0.15095,0.18958,0.12650,0.00000,7.56761,2.00000
0.16322,0.16707,0.20312,0.15012,0.18978,0.12669,0.00000,7.59259,2.00000
0.16125,0.16542,0.20647,0.14940,0.18998,0.12748,0.00000,7.61756,2.00000
0.15937,0.16478,0.20855,0.14932,0.18988,0.12810,0.00000,7.64254,2.00000
0.15800,0.16502,0.20963,0.14954,0.18960,0.12821,0.00000,7.66751,2.00000
0.15716,0.16545,0.20951,0.15006,0.18959,0.12823,0.00000,7.69249,2.00000
